region,revenue_sum,revenue_mean,revenue_std,qty_mean,qty_std,n_orders
ANDAMAN & NICOBAR ,158723.62,653.1836213991769,272.07959352600767,0.8793774319066148,0.3604505665066177,257.0
NAGALAND,143430.66999999998,801.288659217877,349.00750778826267,0.9782608695652174,0.376299522298793,184.0
SIKKIM,138125.66,738.6398930481283,272.8156259536917,0.8861386138613861,0.3184320113693592,202.0
MEGHALAYA,118949.9,609.9994871794871,260.71484819793,0.9019607843137255,0.29809919734793033,204.0
ARUNACHAL PRADESH,95235.0,710.7089552238806,267.8607380157249,0.9219858156028369,0.26915003744103144,141.0
Delhi,94642.87,606.6850641025641,241.07232052482024,0.9146341463414634,0.2802811696165087,164.0
TRIPURA,92548.4,656.3716312056737,269.91235522618956,0.8874172185430463,0.3171339644927338,151.0
New Delhi,47109.95,628.1326666666666,331.765204899462,0.8888888888888888,0.31622776601683794,81.0
DADRA AND NAGAR,42138.92,679.66,286.91070323845867,0.8285714285714286,0.3796042398103419,70.0
MIZORAM,41213.71,572.4126388888889,190.28754576487623,0.9066666666666666,0.3739248852641661,75.0
LADAKH,38388.43,914.0102380952382,320.60057972413915,0.9302325581395349,0.2577696311132336,43.0
Rajasthan,37252.76,677.3229090909091,251.00806239576602,0.9636363636363636,0.18891859540615819,55.0
Punjab,22013.0,733.7666666666667,250.56318403828266,0.8823529411764706,0.3270349700838643,34.0
Bihar,19793.0,733.074074074074,257.4859108805651,1.0,0.0,27.0
nan,18671.0,602.2903225806451,236.26132333335013,0.8484848484848485,0.36410954062720957,49463.0
delhi,16553.62,827.6809999999999,257.5425268081698,0.9523809523809523,0.3842122429322725,21.0
Goa,15781.0,563.6071428571429,172.99011731261035,0.9333333333333333,0.2537081317024624,30.0
Odisha,12429.76,621.488,274.58555437144486,0.8571428571428571,0.358568582800318,21.0
Chandigarh,9054.619999999999,823.1472727272726,314.65601945905655,0.9090909090909091,0.30151134457776363,11.0
punjab,8622.0,663.2307692307693,314.9833735945846,0.9285714285714286,0.2672612419124244,14.0
rajasthan,3946.0,657.6666666666666,249.99733331911096,1.0,0.0,6.0
LAKSHADWEEP,3175.29,793.8225,50.5178452793334,0.75,0.5,4.0
Sikkim,2703.0,901.0,247.9334588150619,1.0,0.0,3.0
Manipur,2631.0,526.2,274.69564976533576,1.0,0.0,5.0
goa,2467.0,493.4,212.02900744945254,1.0,0.0,5.0
Arunachal Pradesh,1935.0,645.0,55.50675634551167,0.6666666666666666,0.5773502691896258,3.0
bihar,1432.0,1432.0,,1.0,,1.0
Orissa,1140.0,570.0,274.35743110038044,1.0,0.0,2.0
Rajshthan,1126.0,563.0,0.0,0.6666666666666666,0.5773502691896258,3.0
RJ,1040.0,520.0,233.3452377915607,1.0,0.0,2.0
NL,961.0,480.5,53.033008588991066,1.0,0.0,2.0
Meghalaya,921.9100000000001,460.95500000000004,154.89174041891326,0.0,0.0,3.0
Mizoram,735.0,735.0,,1.0,,1.0
Nagaland,664.0,664.0,,1.0,,1.0
Arunachal pradesh,602.0,301.0,0.0,1.0,0.0,2.0
orissa,597.0,597.0,,1.0,,1.0
Puducherry,568.0,568.0,,1.0,,1.0
Punjab/Mohali/Zirakpur,568.0,568.0,,1.0,,1.0
Pondicherry,529.0,529.0,,1.0,,1.0
rajsthan,521.0,521.0,,1.0,,1.0
AR,493.0,493.0,,1.0,,1.0
Rajsthan,443.0,443.0,,1.0,,1.0
PB,399.0,399.0,,1.0,,1.0
APO,0.0,,,0.0,,1.0
